name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
NIVIA ENCOUNTER STOCKINGS-Large;sports & fitness;4.2;9;;₹112;;;;;;;;
NIRDAMBHAY Beautiful Ankle Length No Show Low Cut Trendy Cartoon Socks Cartoon Printed Free Size Socks for Girl's Multi-color;sports & fitness;4.2;10;₹349;₹599;;;;;;;;
Max Men Joggers;sports & fitness;3.9;63;₹629;₹699;;;;;;;;
Skudgear Athleisure Premium Comfortable Regular Shorts for Men;sports & fitness;3.9;180;₹499;₹1,999;;;;;;;;
HRBS Transparent Ultra Thin Lace Fishnet Socks Elastic Short Mesh Sheer Socks for Women/Ladies/Girls For Casual; Formal;https://m.media-amazon.com/images/I/51w9pM17rLL._AC_UL320_.jpg;https://www.amazon.in/HRBS-Transparent-Fishnet-Elastic-Socks-Pack/dp/B0BW9V8MFQ/ref=sr_1_1544?qid=1679217181&s=sports&sr=1-1544;;;₹329;₹599;;;;;;
BLINKIN Womens Stretchable Gym Track Pants for Women : Ideal Gym Wear; Joggers;https://m.media-amazon.com/images/I/61NcRT3JsXL._AC_UL320_.jpg;https://www.amazon.in/BLINKIN-Regular-Trackpants-TRK-923-BLACK-GREEN-30_Black-Green_30/dp/B08BT7HCHX/ref=sr_1_1545?qid=1679217181&s=sports&sr=1-1545;3.9;85;₹299;₹1,680;;;;;;
Jockey 2540 Women's Soft Touch Microfiber Elastane Stretch Fleece Fabric Full Sleeve Thermal Top with Stay Warm Technology;sports & fitness;5.0;1;;₹1,399;;;;;;;;
Slony Men's Lycra Stretchable Regular Fit Cuff Joggers Track Pant | Jogger Lower Track Pants for Gym;sports & fitness;5.0;2;₹249;₹1,499;;;;;;;;
Bodycare Insider Womens Anthra Melange Thermal Bottom;sports & fitness;4.0;3;;₹499;;;;;;;;
Nivia Dominator Football Studs;sports & fitness;3.4;15;;₹1,029;;;;;;;;
Yonex 2335 Easy22 Men's Badminton Shorts; Jet Black;https://www.amazon.in/Yonex-Easy22-Badminton-Shorts-Black/dp/B0BXPLHSS3/ref=sr_1_1550?qid=1679217181&s=sports&sr=1-1550;Get;FREE Delivery by Amazon;₹1,159;₹1,290;;;;;;;
Women's Cotton Lycra Cycling Short Yoga Shorts; Cotton Lycra Blend (92% Cotton-8% Spandex) Regular Fit;https://m.media-amazon.com/images/I/71ncih4X37L._AC_UL320_.jpg;https://www.amazon.in/Cycling-Cotton-8-Spandex-Regular-yfcys-9507/dp/B08GL1BT2T/ref=sr_1_1551?qid=1679217181&s=sports&sr=1-1551;3.0;13;₹199;₹499;;;;;;
ROXAN Football Carry Bag (16 Balls; Black);https://www.amazon.in/Roxan-Football-Carry-Bag-balls/dp/B071YJTLLF/ref=sr_1_1552?qid=1679217181&s=sports&sr=1-1552;3.7;25;₹589;₹899;;;;;;;
aallookart Men's Barsa Home 2022-23 Football Jersey (Shorts);sports & fitness;4.2;38;₹999;₹1,999;;;;;;;;
U.S. POLO ASSN. Men's Carrot Track Pants;sports & fitness;3.5;3;₹968;₹2,199;;;;;;;;
BELCO SPORTS 9 Inch Cones Pack 6;10 Space Markers and 4 Meter Ladder Agility Combos;https://www.amazon.in/BELCO-SPORTS-Markers-Ladder-Agility/dp/B07ZVRBX4R/ref=sr_1_1555?qid=1679217181&s=sports&sr=1-1555;4.1;110;₹769;₹1,099;;;;;;;
NIVIA Shining Star STITCHLESS Football Size 5 (Black);sports & fitness;4.2;23;₹1,150;₹1,449;;;;;;;;
Xs and Os Women Over the Knee Socks Cosplay Socks Pack of 2;sports & fitness;4.0;304;₹489;₹969;;;;;;;;
TANTRA Men's and Women's Sports Running ; Gym Mobile Pouch; XL/M / 27.5-31);sports & fitness;Football;https://m.media-amazon.com/images/I/718D1RyRQrL._AC_UL320_.jpg;https://www.amazon.in/TANTRA-Womens-Running-Workout-27-5-31/dp/B01M75G2YX/ref=sr_1_1558?qid=1679217181&s=sports&sr=1-1558;3.7;57;₹699;₹2,499;;;
PSG Paris Third Jersey 2022-23 Messi with Shorts Football;sports & fitness;;;₹425;₹999;;;;;;;;
EVIGHT LIVING Regular Fit Trackpants for Men Stretchable Gym Yoga Joggers for Boys Workout Big and Tall Sweatpants Urban L...;sports & fitness;3.5;15;₹599;₹2,599;;;;;;;;
KUNDAN SULZ GWALIOR Men's Trouser Fabric Combo Set (Combo of 2 Pant Pieces);sports & fitness;3.7;188;₹499;₹1,899;;;;;;;;
Pariss Football Jersey Messi 2022/23 with Shorts;sports & fitness;2.0;2;₹415;₹999;;;;;;;;
RV Cone Markers | 6 Inch Football Training Agility Cone Marker | Safety Traffic Marker | Soccer Cones | Baseball Practice ...;sports & fitness;4.5;20;₹239;₹1,499;;;;;;;;
Bigbanana Plus Size Men's Regular Fit Trackpants;sports & fitness;3.8;13;₹799;₹1,999;;;;;;;;
TECHNOSPORT Men Track Pant;sports & fitness;5.0;1;;₹590;;;;;;;;
Puma Men Sweatshirt;sports & fitness;4.4;539;₹1,469;₹2,499;;;;;;;;
Vector X Venus TRU Machine Stitched Football | Training | Match | Sports | Playing | Practice | Multicolor |;sports & fitness;Get;FREE Delivery by Amazon;₹629;₹815;;;;;;;;
Max Men Track Pants;sports & fitness;Get;FREE Delivery by Amazon;;₹699;;;;;;;;
VIMAL JONNEY Women's Regular Lowers;sports & fitness;4.5;15;₹939;₹2,700;;;;;;;;
Adidas Accuracy.3 Fg Sneaker;sports & fitness;5.0;1;₹4,599;₹7,999;;;;;;;;
Nivia Encounter 9.0 Futsal Shoes; Orange-Royal Blue UK-9;https://www.amazon.in/Nivia-Encounter-Futsal-Shoes-Orange-Royal/dp/B09VDHWND1/ref=sr_1_1619?qid=1679217183&s=sports&sr=1-1619;2.0;3;₹939;₹990;;;;;;;
FF Winter Wear Thermal Upper Vest and Bottom Lower Warmer Combo for Women Long Johns Underwear Set;sports & fitness;4.6;75;₹734;₹1,199;;;;;;;;
Selfcare Women Cotton Blend Thermal Top and Pyjama Set (Pack of 1 Set);sports & fitness;4.0;971;₹659;₹1,198;;;;;;;;
Miss Olive Women Sweatshirt;sports & fitness;3.9;3;₹239.23;₹2,099;;;;;;;;
VIMAL JONNEY Winter Cover Black Womens Thermal Top and Bottom-Setcover-Top-p;sports & fitness;3.6;241;₹399;₹599;;;;;;;;
Vector X Fizer Indoor Football Shoes (Black-Red);sports & fitness;3.7;173;₹569;₹769;;;;;;;;
YCC YOUNGCASH Black Tow Flap Pocket Tracksuit Hoodie Jogger Tow Flap Pocket For Men Women;sports & fitness;3.0;10;₹1,899;₹3,499;;;;;;;;
BEARSTONE� Trendy Women Cotton Colourful Cat Print Low-cut Socks -Multicolour (Pack of 5);sports & fitness;4.0;1;₹289;₹599;;;;;;;;
Adidas Unisex Edge.3 Fg J Football Shoe;sports & fitness;2.0;16;₹2,799;₹5,599;;;;;;;;
Vector X France Machine Stitched Football;sports & fitness;3.0;68;₹399;₹489;;;;;;;;
RANBOLT FT Black Men's Sports Trackpants.;sports & fitness;3.5;69;₹459;₹2,009;;;;;;;;
PICMA Men's Slim Fit Track Pants | Men's Lycra Stretchable Regular Fit Stylish Grip Cargo Joggers Track Pant Lower Pyjama ...;sports & fitness;2.8;5;₹449;₹999;;;;;;;;
COUGAR Cone Marker; Cone Marker Set;sports & fitness;Football;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Y8AC--k8L._AC_UL320_.jpg;https://www.amazon.in/COUGAR-Marker-Saucer-Cones-Space/dp/B09XMLY3SC/ref=sr_1_1631?qid=1679217183&s=sports&sr=1-1631;3.8;6;₹314;₹699;;;;
kiddeo Boys Track Pants (Pack of 6);sports & fitness;3.9;131;₹549;₹1,999;;;;;;;;
Pepe Jeans Men Sweatshirt;sports & fitness;4.4;3;₹1,574;₹3,499;;;;;;;;
Status Apparels Tshirt for Men | Cotton Full Sleeves Peace Printed Casuals;sports & fitness;1.0;1;₹469;₹999;;;;;;;;
Adidas Men Shorts;sports & fitness;3.3;58;₹559;₹1,599;;;;;;;;
AVOLT Solid Men Sports; Running;https://m.media-amazon.com/images/I/61jJewzAF8L._AC_UL320_.jpg;https://www.amazon.in/AVOLT-Solid-Sports-Running-Shorts/dp/B0BC4CPYD7/ref=sr_1_1660?qid=1679217185&s=sports&sr=1-1660;Get;FREE Delivery by Amazon;₹687;₹1,999;;;;;;
Axpro White Ronaldo Synthetic TPU Studs Football Shoes for Men;sports & fitness;4.0;33;₹740;₹1,800;;;;;;;;
Amazon Brand - Symbol Women's Slim Track Pants;sports & fitness;4.0;235;₹661;₹1,599;;;;;;;;
Vector X Infiniti Football Shoes (Size-6) (Blue-Black-Green);sports & fitness;4.0;61;₹788;₹799;;;;;;;;
Puma Unisex-Child Monarch Ii Tt Jr Football Shoe;sports & fitness;4.3;57;₹1,924;₹2,999;;;;;;;;
Puma Men's Synthetic Liners Socks (Pack of 2);sports & fitness;3.4;17;₹270;₹449;;;;;;;;
Regalia Procot Women's Yoga Shorts;sports & fitness;3.9;11;₹399;₹899;;;;;;;;
Modeve Striped Women Track Pant;sports & fitness;5.0;1;₹499;₹999;;;;;;;;
Lappen Fashion Women T-Shirt;sports & fitness;3.4;60;₹289;₹999;;;;;;;;
Reebok Men's Slim Fit T-Shirt;sports & fitness;4.6;5;₹749;₹2,499;;;;;;;;
Mayor Contra Argentina Synthetic Rubber Football; Size: 5 (White/Blue/Yellow);https://www.amazon.in/Mayor-Contra-Argentina-Synthetic-Football/dp/B07SYHZ9CX/ref=sr_1_1670?qid=1679217185&s=sports&sr=1-1670;Get;FREE Delivery by Amazon;;₹875;;;;;;;
Vector X Breeze Football Shoes (Blue-Orange) (4);sports & fitness;3.8;120;₹611;₹799;;;;;;;;
PUMA Stylised Unisex Sneaker Socks Pack of 3;sports & fitness;3.6;39;₹289;₹599;;;;;;;;
Alan Jones Clothing Solid Boys Joggers Track Pant;sports & fitness;4.2;243;₹439;₹1,199;;;;;;;;
Vitaan Trackpants Sports Wear for Men; Joggers for Men;Football;https://m.media-amazon.com/images/I/31FRnIp4ZXL._AC_UL320_.jpg;https://www.amazon.in/Vitaan-Trackpants-Jeggings-Athletic-Training/dp/B08ZSLB4DH/ref=sr_1_1674?qid=1679217185&s=sports&sr=1-1674;3.5;420;₹342;₹1,299;;;;;
Adidas Men Sweatshirt;sports & fitness;3.7;53;₹990;₹2,999;;;;;;;;
5IVE DEGREE 2-Pack Boy's Joggers Track Pant - Ankle Length (5 to 16 Years);sports & fitness;4.3;11;₹750;₹1,499;;;;;;;;
Mens Stylish Ultra Strechable Lycra Sports Track Suit;sports & fitness;3.4;700;₹1,299;₹1,999;;;;;;;;
Red Tape Men's Cotton Blend Crew Neck Sweatshirt;sports & fitness;3.7;471;₹689;₹2,599;;;;;;;;
R&D Girls's Nurse; School or Uniform Thigh Length Socks (Pack Of 1) (Stocking;https://m.media-amazon.com/images/I/41cqd9b6LwL._AC_UL320_.jpg;https://www.amazon.in/Girlss-School-Uniform-Length-Stocking/dp/B0BGSF9QWH/ref=sr_1_1679?qid=1679217185&s=sports&sr=1-1679;3.0;3;₹175;₹499;;;;;;
Adidas mens Socks;sports & fitness;4.5;210;₹309;₹899;;;;;;;;
RASCO PVC Football; Size 5 (Red);https://www.amazon.in/A11-Sports-Colour-Brazuca-Football/dp/B0748F8YQ6/ref=sr_1_1777?qid=1679217188&s=sports&sr=1-1777;3.8;134;₹479;₹999;;;;;;;
APPSS Sports Printed Tracksuit for Men; Sports Branded Tracksuit Regular Super Poly BlueTracksuit Regular fit Trending Cas...;https://www.amazon.in/APPSS-Tracksuit-BlueTracksuit-Specially-color-Blue/dp/B08R5KKWMF/ref=sr_1_1778?qid=1679217188&s=sports&sr=1-1778;2.5;5;₹749;₹999;;;;;;;
Nike Boy's Sport Short (AO0771-644_Laser Crimson/Valerian Blue_S);sports & fitness;3.5;6;₹569;₹1,095;;;;;;;;
RC. ROYAL CLASS Women's Solid Plain Cotton Loafer Thumb Socks(Pack of 3 Pairs)(Free Size);sports & fitness;4.1;161;₹302;₹480;;;;;;;;
Jockey Men's Track Jacket;sports & fitness;3.9;351;₹1,515;₹1,699;;;;;;;;
TEGO - Socks - Ankle - Ultralight Nylon - Large (1 Pack) - Blue ORG-Sports; fitness; f...;sports & fitness;Football;https://m.media-amazon.com/images/I/51pF9ugcvLL._AC_UL320_.jpg;https://www.amazon.in/TEGO-Socks-NoShow-Ultralight-Large/dp/B08LZ8SRP7/ref=sr_1_1782?qid=1679217188&s=sports&sr=1-1782;3.5;9;;₹369;;;
RodZen Men's Fleece High Neck Solid Sweatshirts;sports & fitness;4.0;27;₹499;₹1,999;;;;;;;;
VIMAL JONNEY Men's Regular Fit Polyester Track Pant;sports & fitness;3.6;56;₹249;₹899;;;;;;;;
FLINGR Poly Spandex Women Sport Shorts for Active Wear| Regular Fit for Workout Wear and Casual Wear| Shorts for Running; ...;https://www.amazon.in/FLINGR-Spandex-Regular-Workout-Running/dp/B09RMPCMWR/ref=sr_1_1785?qid=1679217188&s=sports&sr=1-1785;4.1;15;₹299;₹999;;;;;;;
Sweet Threadz Lycra Tight Fit Stretchable Cycling Shorts Womens Shorties for Active wear/Exercise/Workout/Yoga/Gym/Cycle/R...;sports & fitness;3.9;15;₹195;₹499;;;;;;;;
Roshan® Double Stripes Hosiery Trackpant;sports & fitness;4.4;26;₹799;₹1,499;;;;;;;;
BEEVEE Mens Camouflage Grey Elasticated Track Pant with Drawstring.;sports & fitness;4.0;10;₹1,079;₹1,799;;;;;;;;
Jack & Jones Men's Regular Track Pants;sports & fitness;3.6;4;₹750;₹2,999;;;;;;;;
Jockey Men's Relaxed Fit Joggers;sports & fitness;4.0;276;;₹1,299;;;;;;;;
Clovia Women's Comfort-Fit Active Track Pants in Grey - Grey;sports & fitness;4.0;3;₹699;₹1,299;;;;;;;;
CAZO Boys Jogger Trackpants Printed Regular FIT RACERIDER;sports & fitness;3.8;8;₹409;₹649;;;;;;;;
ReDesign Apparels Men's Skinny Fit Leggings;sports & fitness;4.1;290;₹1,139.05;₹3,999;;;;;;;;
Fusefit Boy's Jogger Regular Track Pants;sports & fitness;3.3;13;₹469;₹1,399;;;;;;;;
Neymar 10 Football Jersey 2022/23 with Black Shorts (Kids & Men);sports & fitness;;;₹359;₹899;;;;;;;;
OORA Men's Shorts Lightweight Quick Dry Athletic Running Shorts with Zipper Pockets for Gym; Workout;https://m.media-amazon.com/images/I/610ECQrO3iL._AC_UL320_.jpg;https://www.amazon.in/OORA-Lightweight-Athletic-Running-Pockets/dp/B0B5TB724R/ref=sr_1_1796?qid=1679217188&s=sports&sr=1-1796;4.5;2;₹749;₹1,999;;;;;;
Vintado Women Casual Cotton Socks For Ankle Pattern Comfortable Lightweight With Re-enforced Heel & Toe Breathable Multicolor;sports & fitness;5.0;8;₹339;₹999;;;;;;;;
Gopz Yoga Socks & Colorful Yoga Socks for Women Non-Slip Grips & Straps; Ideal for Pilates;Football;https://m.media-amazon.com/images/I/61EIhKeiRCS._AC_UL320_.jpg;https://www.amazon.in/Gopz-Colorful-Non-Slip-Pilates-manymore/dp/B0BXFG91QQ/ref=sr_1_1798?qid=1679217188&s=sports&sr=1-1798;;;₹229;₹499;;;;;
Barcelona Home Set Thai Jersey & Shorts 2022/23 for Men & Women;sports & fitness;3.0;9;₹998;₹2,999;;;;;;;;
Fabtie Girls Regular Fit Premium Cotton Printed Pyjama Pants/Lowers/Trackpant/Night Pant(Pack of 3 Assorted Colours);sports & fitness;3.6;453;₹499;₹899;;;;;;;;
Opaque Compression Socks Knee-Hi Firm Support Open Toe Medium Beige Compression stockings 20-30mmHg Surgical Weight medica...;sports & fitness;4.2;789;₹599;₹1,500;;;;;;;;
Regalia Procot Womens Quick Dry Gym High Waist Yoga Workout Sports Biker Shorts with 2 Side Pockets | Outdoor Running Slim...;sports & fitness;;;₹499;₹899;;;;;;;;
John Ally Men’s Relaxed fit Quick Dry Gym Workout Shorts with Zipper Pockets Perfect for Sports; Fitness;Football;https://m.media-amazon.com/images/I/51J64fVP5kL._AC_UL320_.jpg;https://www.amazon.in/John-Ally-Exercise-Athletic-Performance/dp/B0B36KCXVG/ref=sr_1_1827?qid=1679217189&s=sports&sr=1-1827;4.6;3;₹599;₹999;;;;;
Status Apparels Cotton Tshirt for Women Combo Pack of 2;sports & fitness;3.3;114;₹751;₹1,299;;;;;;;;
Vector X Chaser-II Football Shoes;sports & fitness;3.8;732;₹699;₹799;;;;;;;;
NEVER LOSE Men's Cycling Shorts Bike Bicycle Pants Tights; Breathable & Absorbent;https://www.amazon.in/NEVER-LOSE-Cycling-Breathable-Absorbent/dp/B08FRQFZW7/ref=sr_1_1830?qid=1679217189&s=sports&sr=1-1830;3.7;22;₹398;₹799;;;;;;;
Austivo Men's Slim Fit TrackPant1561A;sports & fitness;4.2;4;₹499;₹1,899;;;;;;;;
Imported Fabric Forway 4 Way Mens Lower Track Pants Regular Fit Slim Fit Running Workout Pants with Front Pocket with Mobi...;sports & fitness;3.0;2;₹379;₹999;;;;;;;;
Lyriq Joggers for Women || Trousers for Women || Track Pants for Women || Gym Yoga Pants for Women;sports & fitness;4.6;79;₹369;₹1,499;;;;;;;;
HELLCAT Boys Regular Fit Fulsleeve Hooded Sweatshirt with Rib - Combo Pack of 2;sports & fitness;3.9;29;₹539;₹3,998;;;;;;;;
FITINC NS Lycra Lightweight & Dry-Fit Track Pant for Men;sports & fitness;3.8;22;₹594;₹1,499;;;;;;;;
YHA Womens Regular Fit TrackSuits;sports & fitness;3.9;37;₹1,299;₹3,999;;;;;;;;
berge' Men Polyester Sports Wear Breathable Shorts with Branded Zipped Pockets for Running Sport Workout;sports & fitness;3.9;84;;₹695;;;;;;;;
KK Storm Football Stud Shoes;sports & fitness;3.4;34;₹899;₹980;;;;;;;;
Vimal Jonnney Dryfit Lycra Solid Multicolor Tracksuit Co-ord Sets for Women (Pack of 3)-DRYFIT_T_D10_BLK_BLU_GRY_006-P;sports & fitness;3.0;1;₹999;₹5,400;;;;;;;;
UZARUS Men's Regular Fit Track pants;sports & fitness;3.3;875;₹424;₹1,999;;;;;;;;
Jockey Women's Cotton Boyshorts (Pack of 1) (SS04_White_L_White_L);sports & fitness;4.1;175;;₹249;;;;;;;;
Nivia 805SGR Wisdom-2018 Plastic Shin Guard; Small (Green);https://www.amazon.in/Nivia-805SGR-Wisdom-2018-Plastic-Guard/dp/B07DWTDMLZ/ref=sr_1_1842?qid=1679217189&s=sports&sr=1-1842;3.9;32;₹157;₹170;;;;;;;
MILLION STORE Men Slim Fit Joggers Utra Soft Quick Dry Trackpants;sports & fitness;;;₹320;₹999;;;;;;;;
Fizzique Premium Men's Regular Fit Jogger Track Pants (Size M to 8XL) | Smooth Soft Feel; Antimicrobal Fabric with Zipper ...;https://www.amazon.in/Fizzique-Plus-Regular-Trackpants-Charcoal/dp/B09V814JMS/ref=sr_1_1844?qid=1679217189&s=sports&sr=1-1844;4.0;88;₹699;₹849;;;;;;;
FUNDAY FASHION Self Design Women Track Suit;sports & fitness;3.2;24;₹649;₹1,999;;;;;;;;
Puma Women Shorts;sports & fitness;;;₹999;₹1,999;;;;;;;;
FATTAHKAISER Men Track Pants Casual | Pack of 3 | Men Track Pant Cotton | Men Track Pant Branded | Track Pants for Men Spo...;sports & fitness;3.4;67;₹799;₹1,400;;;;;;;;
FAIQA Thermal Wear Top Pajama Set for Boys Girls Kids Baby (Pack of 2);sports & fitness;3.9;27;₹574;₹999;;;;;;;;
STOP by Shoppers Mens Regular Fit Solid Open Sweatshirt;sports & fitness;3.7;18;₹399;₹1,299;;;;;;;;
Alan Jones Clothing Mens Cotton Track Suit;sports & fitness;4.5;27;₹999;₹2,999;;;;;;;;
Amazon Brand - House & Shields Men Hooded Sweatshirt;sports & fitness;4.1;1,826;₹719;₹1,999;;;;;;;;
Cotson Girl's No-Show Net Socks (Pack Of 4 Pairs) (BEM3921-Multicolor-P4_Multicolour);sports & fitness;3.9;135;₹282;₹599;;;;;;;;
Van Heusen Athleisure Men Regular Fit Joggers - Cotton Rich - Smart Tech; Easy Stain Release;sports & fitness;Football;https://m.media-amazon.com/images/I/91MQQVppcgS._AC_UL320_.jpg;https://www.amazon.in/Van-Heusen-Relaxed-Sweatpants-IHTK1LR23750044_Green_XXL/dp/B084W2MLXW/ref=sr_1_2021?qid=1679217193&s=sports&sr=1-2021;3.9;9;₹1,519;₹1,719;;;;
Big Button Men's Slim Fit Cotton Air Joggers;sports & fitness;3.6;67;₹949;₹1,599;;;;;;;;
SHREY Apparels Compression Short Tights;sports & fitness;5.0;2;₹895;₹1,099;;;;;;;;
Amazon Brand - Symbol Boys Hooded Sweatshirt;sports & fitness;3.9;248;₹481;₹1,499;;;;;;;;
JUST RIDER Mens Compression Shorts with Cup Pocket and Side Mobile Pocket Sports Running Quick Dry Shorts Compression Unde...;sports & fitness;5.0;1;₹349;₹999;;;;;;;;
VIMAL JONNEY Kids Regular Fit Cotton Blended Trackpants (Pack of 3_Multicolor_32)-K5AK5BK5M_03-32A;sports & fitness;4.1;22;₹599;₹2,700;;;;;;;;
SK HOSIERY : Regular Fit Track Pants; Pajamas and Lowers for Kids Boys (Pack of 2);https://www.amazon.in/SK-HOSIERY-Regular-Pajamas-Lowers/dp/B0BX9RXN2X/ref=sr_1_2027?qid=1679217193&s=sports&sr=1-2027;;;₹430;₹1,299;;;;;;;
Puma Men's Regular Fit Tee;sports & fitness;4.7;4;₹629;₹1,999;;;;;;;;
Nivia Ditmar Spider Goalkeeper Gloves for Men & Women; for Football;sports & fitness;Football;https://m.media-amazon.com/images/I/81JjmYiAmEL._AC_UL320_.jpg;https://www.amazon.in/Nivia-902-Ditmar-Spider-Goalkeeper/dp/B071Z76YL3/ref=sr_1_2029?qid=1679217193&s=sports&sr=1-2029;4.2;60;;₹911;;;;
VEDETIC Fashion Beautiful Ankle Length No Show Low Cut Trendy Cartoon Socks Cartoon Printed Free Size Socks for Girl's Mul...;sports & fitness;4.4;13;₹279;₹599;;;;;;;;
SportzBeat: Size 6 Rubber Football Ball (Multicolour; SB Sports Goods_55);https://www.amazon.in/SportzBeat-Rubber-Football-Multicolour-Goods_55/dp/B0BD15619C/ref=sr_1_2031?qid=1679217193&s=sports&sr=1-2031;5.0;1;₹450;₹599;;;;;;;
Nivia Vortex Double Strapped Shin Guards for Young Kids and Adults; for Football Games Matches Training;Football;https://m.media-amazon.com/images/I/81NZc0VL41L._AC_UL320_.jpg;https://www.amazon.in/Nivia-Vortex-Shin-Guard-Medium/dp/B00TPKHBEY/ref=sr_1_2032?qid=1679217193&s=sports&sr=1-2032;3.9;111;;₹284;;;;;
MediPEDS Men's 4 Pack Diabetic Crew Socks;sports & fitness;4.6;1,982;₹449;₹800;;;;;;;;
Hubberholme Men's Cotton Blend White Stripe Regular Fit Joggers - Trackpant with Drawstring Elastic Waistband; Lower for J...;https://www.amazon.in/Hubberholme-Cotton-Stripe-Regular-Joggers/dp/B09NPY4ZMZ/ref=sr_1_2034?qid=1679217193&s=sports&sr=1-2034;3.8;18;₹320;₹1,999;;;;;;;
VEGO Mens Cotton Three by Fourth; 3/4;Football;https://m.media-amazon.com/images/I/71fKQ8fSuBL._AC_UL320_.jpg;https://www.amazon.in/VEGO-Charcol-Cotton-Fourth-HC-555-CHARCOL-38/dp/B01BWKW4DM/ref=sr_1_2035?qid=1679217193&s=sports&sr=1-2035;4.1;612;₹499;₹990;;;;;
Shrishti Creations Premium Ankle Length Floral Printed Multicolored Cotton Socks For Women/Girls;sports & fitness;3.8;76;₹219;₹2,999;;;;;;;;
Puma Women Sweatshirt;sports & fitness;5.0;1;₹1,499;₹2,999;;;;;;;;
TWIN BIRDS Cotton Stretchable Solid Coloured Skinny Fit Knee Length Yoga/Cycling/Sports Shorts for Girls;sports & fitness;;;;₹627;;;;;;;;
AmazBaby Girls Cotton Round Neck Sweatshirt;sports & fitness;4.0;12;₹649;₹1,999;;;;;;;;
Puma Mens Tacto Ii Fg/Ag Football Shoe;sports & fitness;3.8;4;;₹3,999;;;;;;;;
Alfa Men's Quilted Steam Disinfected Winter wear Cotton Thermal TOP (V-Neck);sports & fitness;4.2;21;₹427;₹1,799;;;;;;;;
WASAN Plastic Hand Pump for Football ; Volleyball;Football;https://m.media-amazon.com/images/I/41Hl3u2jrVL._AC_UL320_.jpg;https://www.amazon.in/WASAN-Hand-Pump-Green/dp/B00QRVGB3Q/ref=sr_1_2042?qid=1679217194&s=sports&sr=1-2042;3.8;15;;₹177;;;;;
CSU Sports and Training Pea-Less Whistles-Used by Professionals;sports & fitness;3.1;63;₹199;₹570;;;;;;;;
Khillayox Women's Nylon Without Thumb Solid Pattern Ankle Length Socks |Breathable Durable Comfortable Regular Wear Anti-T...;sports & fitness;5.0;4;₹249;₹399;;;;;;;;
Campus Sutra Women Apparels;sports & fitness;3.8;1,358;₹755;₹2,499;;;;;;;;
Oysters Women's Sports Shorts With Zip Pocket Quick-Dry Athletic Shorts Sports Elastic Waist;sports & fitness;3.0;10;₹499;₹999;;;;;;;;
STOKOR Men’s 2 in 1 Workout Shorts for Men with Phone Pockets;sports & fitness;Get;FREE Delivery by Amazon;₹649;₹1,199;;;;;;;;
hiker's way Track Pant for Men; Joggers for Men;https://m.media-amazon.com/images/I/71t1ChHr7wL._AC_UL320_.jpg;https://www.amazon.in/hikers-way-Stretchable-Regular-Trackpants/dp/B08B594WJV/ref=sr_1_2048?qid=1679217194&s=sports&sr=1-2048;4.1;130;₹499;₹999;;;;;;
PRO GYM Men Cool Dry Compression T-Shirt & Lower for Athletic Workout and Running (Black; Medium);https://www.amazon.in/PRO-GYM-Compression-T-Shirt-Athletic/dp/B08VW4T7DP/ref=sr_1_2049?qid=1679217194&s=sports&sr=1-2049;3.5;105;₹649;₹999;;;;;;;
Vector X BIGWIN Thermo Bonded Football (Size-5) (White-Red);sports & fitness;3.6;3;₹999;₹1,379;;;;;;;;
ADBUCKS Cotton Solid Women's Joggers Track Pants;sports & fitness;3.2;16;₹599;₹1,499;;;;;;;;
A Basic Running Short That's Comfortable; Durable;Football;https://m.media-amazon.com/images/I/51zO0-KJCQL._AC_UL320_.jpg;https://www.amazon.in/MAXIAN-Sports-Running-Shorts-Black/dp/B0B5Y3QK4Y/ref=sr_1_2052?qid=1679217194&s=sports&sr=1-2052;4.0;2;₹249;₹899;;;;;
NEVER LOSE Compression Half Tight Shorts Athletic Fit Multi Sports Cycling; Cricket; Fitness (Co...;sports & fitness;Football;https://m.media-amazon.com/images/I/516wUxkN6PL._AC_UL320_.jpg;https://www.amazon.in/NEVER-LOSE-Compression-Athletic-Badminton/dp/B08KTVKBQ8/ref=sr_1_2053?qid=1679217194&s=sports&sr=1-2053;4.0;172;₹349;₹799;;;
Amazon Brand - Symbol Boys Sweatshirt;sports & fitness;4.0;318;₹199;₹1,199;;;;;;;;
Alan Jones Clothing Mens Cotton Track Suit;sports & fitness;4.1;96;₹999;₹2,999;;;;;;;;
TEGO Drill Crew Length Cotton Comfort Socks - Sports; Running Socks for Men;https://m.media-amazon.com/images/I/61mhgaN9yOL._AC_UL320_.jpg;https://www.amazon.in/TEGO-Socks-Cotton-Comfort-Flamingo/dp/B08N4Q6SWX/ref=sr_1_2056?qid=1679217194&s=sports&sr=1-2056;3.6;3;₹379;₹449;;;;;;
Alan Jones Clothing Boy's Regular Fit Poly Cotton Track Pant;sports & fitness;3.9;58;₹399;₹1,199;;;;;;;;
VIMAL JONNEY Men's Slim Fit Polyester Blend Trackpants;sports & fitness;3.8;12;₹649;₹2,697;;;;;;;;
Shopitail Mid Calf Grip Socks and Football Legsleeve Shinguard and Pad Supporter Combo;sports & fitness;5.0;1;₹999;₹1,499;;;;;;;;
