name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
Captain Lead to Win sleeve+03;sports & fitness;5.0;2;₹299;₹499;;;;;;;;
NIVIA Spider F.B G/Keeper Gloves Black;sports & fitness;3.6;248;;₹819;;;;;;;;
Cloth Theory Girl's Regular Track Pants;sports & fitness;3.9;451;₹179;₹899;;;;;;;;
WKLOUYHE Women No Show Peep Toe Sock Toeless Cotton Non Slip Shoe Liner Open Toe Socks Yoga Sock_Free Size(Black;Beige And...;https://www.amazon.in/WKLOUYHE-Women-Toeless-Cotton-Sock_Free/dp/B0BSL2KDW7/ref=sr_1_877?qid=1679217167&s=sports&sr=1-877;1.5;2;₹239;₹299;;;;;;;
Sports Cricket Mumbai Jersey 2023/24_Rohit Sharma 45;sports & fitness;;;₹275;₹899;;;;;;;;
The Modern Soul Men's Jogger Track Pant;sports & fitness;5.0;1;₹499;₹1,999;;;;;;;;
PSG Paris Football Jersey Messi 2022/23 with Shorts;sports & fitness;4.6;3;₹435;₹999;;;;;;;;
Proline Men Track Pants;sports & fitness;3.9;9;₹519;₹1,299;;;;;;;;
TEERA Classic Black and White Football with Pump and PIN Size-5 for Kids;sports & fitness;3.3;6;₹390;₹1,699;;;;;;;;
Diruno Men Track Pants;sports & fitness;3.8;434;₹474;₹1,499;;;;;;;;
VIMAL JONNEY Cotton Blend Track suit Co-ord Set For Men With Hodded Full Sleeve T-Shirt and Track Pant-VJ-MNS-TTP-GROUP18;sports & fitness;3.3;102;₹499;₹1,898;;;;;;;;
U.S. POLO ASSN. Men Lounge Bottom;sports & fitness;3.9;1,226;₹1,119;₹1,399;;;;;;;;
Nivia Soccer Socks; Small;https://www.amazon.in/Nivia-SS970-Nylon-Soccer-Stockings/dp/B01FX5LA4Q/ref=sr_1_886?qid=1679217167&s=sports&sr=1-886;3.9;113;;₹250;;;;;;;
Dozit Sports Star PU Football with Free Pump and Pin; Size 5;https://www.amazon.in/Dozit-Sports-Star-Football-Free/dp/B0BTMPJV6R/ref=sr_1_887?qid=1679217167&s=sports&sr=1-887;5.0;2;₹449;₹999;;;;;;;
Veirdo Men's Camouflage Cotton Loopnet Trackpant;sports & fitness;3.4;147;₹439;₹1,999;;;;;;;;
Van Heusen Athleisure Women's Slim Track Pants;sports & fitness;4.0;372;₹1,049;₹1,299;;;;;;;;
Topster Women Sweatshirt with Hoodies; Fleece Material Full Sleeves Jumper Women Winter Wear;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61tRUO8VApL._AC_UL320_.jpg;https://www.amazon.in/Topster-Sweatshirt-Hoodies-Fleece-Sleeves/dp/B0BHP8LXR5/ref=sr_1_962?qid=1679217169&s=sports&sr=1-962;3.5;203;₹399;₹999;;;;;;
CRUMPLED Socks Cotton Calf Length Free Size Men Women Solid Sports Socks;sports & fitness;4.2;14;₹99;₹499;;;;;;;;
Nivia Aviator 2.0 Hard Ground Futsal Shoes for Mens | TPU Sole with PVC Synthetic Leather Upper | Die Cut Soft eva Socklin...;sports & fitness;3.7;245;;₹886;;;;;;;;
Imperative Women Quick Dry Gym Yoga Workout Sports Shorts with Pocket | Outdoor Running Slim Fit Shorts for Women | Women ...;sports & fitness;4.4;4;₹399;₹999;;;;;;;;
Starvis Ankle/High Ankle Ultra Thin Transparent Net Socks for Women with Thumb(Pack of 4);sports & fitness;4.5;4;₹226;₹399;;;;;;;;
Vector X England Machine Stitched Football;sports & fitness;3.4;67;₹415;₹489;;;;;;;;
calzo School Model Agility Saucer Football Marker Cone for Marking - Set of 30 Pcs (1.5 Inch; Round;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61EIXcW5JgL._AC_UL320_.jpg;https://www.amazon.in/calzo-School-Agility-Football-Marking/dp/B08PQNXPJP/ref=sr_1_968?qid=1679217169&s=sports&sr=1-968;3.8;11;₹269;₹599;;;;;;
FITINC Premium Track Pant for Men | Anti Microbial | Superdry | Breathable | Stretchable | 2 YKK Zipper Pockets;sports & fitness;4.3;19;₹643;₹1,249;;;;;;;;
PSG Paris Football Third Neymar Jersey 2023-24;sports & fitness;;;₹345;₹899;;;;;;;;
Fort Worth 4 Pcs Pack Men's Mesh Athletic Performance Gym Shorts with Zipper Pockets (XL);sports & fitness;;;₹799;₹1,999;;;;;;;;
Nivia Snow Storm PVC Football (Size: 5; Color : Red;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/810Dx3GsiHL._AC_UL320_.jpg;https://www.amazon.in/NIVIA-Storm-Machine-Stitched-Football/dp/B07XFBW4RH/ref=sr_1_972?qid=1679217169&s=sports&sr=1-972;3.6;23;₹479;₹599;;;;;;
